published_at,headline,description,url,source
2026-03-25,"2025-26 NBA championship and MVP odds: Lakers, Spurs championship odds continue to shorten","The Lakers and Spurs continue to see their championship odds shorten, and Luka Doncic makes big move in MVP race.",https://www.espn.com/espn/betting/story/_/id/45539787/2025-nba-finals-odds-mvp-2025-26-championship-betting,ESPN
2026-03-25,J. Cole reveals why LeBron James carried 'The Fall-Off' album in arrival,The Los Angeles Lakers star brought the vinyl for the rapper to sign while James met Cole's children.,https://www.espn.com/nba/story/_/id/48304843/j-cole-fall-lebron-james-los-angeles-lakers,ESPN
2026-03-25,NBA Power Rankings: The Thunder reign while East teams rise,Where our NBA insiders ranked all 30 teams as the regular season reaches the home stretch.,https://www.espn.com/nba/story/_/id/48296257/nba-power-rankings-thunder-reign-celtics-pistons-rise,ESPN
2026-03-24,"NBA players with 30,000+ points: Durant, LeBron, Kobe, more","Only eight NBA players have achieved 30,000+ career points, with Kevin Durant most recently reaching the milestone in February 2025.",https://www.espn.com/nba/story/_/id/41833581/nba-players-30000-points-lebron-james-kobe-bryant,ESPN
2026-03-24,Stephen A.: 'We've never seen LeBron James as a third option',Stephen A. Smith says LeBron James deserves credit for his leadership on the Lakers and embracing the change to his role.,https://www.espn.com/video/clip?id=48296256,ESPN
2026-03-25,"Rams' Puka Nacua sued over alleged antisemitic remark, bite","A woman in Los Angeles has filed a civil lawsuit against Puka Nacua alleging the Rams wide receiver made an ""unprovoked antisemitic statement"" and later bit her on the shoulder.",https://www.espn.com/nfl/story/_/id/48306031/rams-puka-nacua-sued-alleged-antisemitic-remark-bite,ESPN
2026-03-25,Seahawks to open Wednesday of Week 1 with Australia game Thursday,The Super Bowl LX champion Seahawks will open the season on the Wednesday of Week 1 instead of hosting the usual Thursday night opener.,https://www.espn.com/nfl/story/_/id/48305104/seahawks-open-wednesday-week-1-australia-game-thursday,ESPN
2026-03-25,2026 NFL free agency class rankings: Most improved rosters,"How did all 32 NFL teams fare in March, taking into account free agent signings, trades, extensions and departures? We stacked each class.",https://www.espn.com/nfl/story/_/id/48259765/2026-nfl-free-agency-class-rankings-teams-improved-better-worse-32-signings-deals,ESPN
2026-03-25,2026 NFL mock draft: Yates' pick predictions in Rounds 1-2,"Field Yates unveils his latest NFL mock draft, projecting two full rounds. Which top prospects could go in the opening 64 picks?",https://www.espn.com/nfl/draft2026/story/_/id/48259253/2026-nfl-mock-draft-two-rounds-64-picks-field-yates,ESPN
2026-03-21,"2026 NFL free agency grades: Sydney Brown, Jaylen Waddle","We're handing out report cards on big moves, including trades for Sydney Brown and Jaylen Waddle.",https://www.espn.com/nfl/story/_/id/47911726/2026-nfl-free-agency-grades-signings-trades-latest-best-worst-deals-draft-outlook,ESPN
